15,The Power of Habit,Charles Duhigg,Mike Chamberlain,10:56:40,Non-Fiction,0.0,0
5,Atomic Habits,James Clear,James Clear,07:32:25,Non-Fiction,0.0,0
27,The Night Circus,Erin Morgenstern,Jim Dale,13:42:55,Fantasy,0.0,0
22,The Goldfinch,Donna Tartt,David Pittu,32:25:10,Fiction,0.0,0
9,The Da Vinci Code,Dan Brown,Paul Michael,15:17:15,Fiction,0.0,0
13,Educated,Tara Westover,Julia Whelan,12:10:30,Non-Fiction,0.0,0
6,The Dutch House,George Orwell,Simon Prebble,11:24:35,Fiction,0.0,0
16,The Road,Cormac McCarthy,Tom Stechschulte,06:43:50,Fiction,0.0,0
23,The Girl with the Dragon Tattoo,Stieg Larsson,Simon Vance,16:24:20,Mystery,0.0,0
2,Sapiens,Yuval Noah Harari,Derek Perkins,15:36:30,Non-Fiction,0.0,0
